property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
A Very Sharp 2 Bedrooms Shared Apartment With A Pop Finishing,Ajah,320000,1 Bathroom1 Toilet3 Parking Spaces Save, Badore Road,1,1,1,3
Brand New Mini Flat,Ikeja,550000,1 Bedroom2 Bathrooms1 Toilet3 Parking Spaces Save, Ogba,1,2,1,3
Luxury 3 Bedroom Apartment,Ketu,550000,3 Bedrooms1 Bathroom1 Toilet1 Parking Space Save, Alapere,3,1,1,1
9 Units Of 3 Bedroom Serviced Flats,Ikeja,3500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikeja,3,3,4,
Newly Built Luxury 1 Bedroom Fully Furnished And Fully Serviced,Ikeja,1300000,1 Bedroom2 Bathrooms2 Toilets5 Parking Spaces Save, Ikeja,1,2,2,5
A Fairly Used Mini Flat With An Extra Room,Maryland,550000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Maryland,1,1,1,1
Decent 3 Bedroom Flat,Ikeja,600000,3 Bedrooms2 Bathrooms3 Toilets Save, Ogba,3,2,3,
Very Nice And Spacious Room And Parlor Self Contained Apartment,Shomolu,400000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Off Ilaje Road,1,1,2,2
Very Spacious Room And Parlor Self Contained (bq Bungalow),Ikoyi,900000,1 Bathroom1 Toilet2 Parking Spaces Save, Ikoyi,1,1,1,2
Nice 3 Bedroom Flat,Isolo,1000000,3 Bedrooms4 Bathrooms4 Toilets Save, Oke Afa,3,4,4,
Room And Parlor Self Contained With Necessary Facilities,Ikorodu,250000,1 Bedroom1 Bathroom1 Toilet8 Parking Spaces Save, Agric,1,1,1,8
Renovated 2 Bedroom Flat With Necessary,Ikorodu,250000,2 Bedrooms1 Bathroom1 Toilet10 Parking Spaces Save, Off Isawo Road,2,1,1,10
Nice And Standard Mini Flat,Lekki,700000,1 Bedroom Save, Lekki Expressway,1,1,1,
Nice And Standard Self Contained With Wardrobe,Lekki,500000,  Save, Igbo Efon,,,,
Nice And Standard Self Contained With Kitchen,Lekki,450000,  Save, Igbo Efon,,,,
Newly Built Superb A Room Apartment,Lekki,900000,1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
Beautiful 3bedroom Flat At Mafoluku Oshodi Lagos,Oshodi,800000,3 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save, Lagos,3,3,3,10
A Lovely And Nice Newly Built Mini Flat,Surulere,700000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Ogunlana,1,1,2,1
Newly Built Room Self Contained,Ikorodu,170000,1 Bathroom1 Toilet5 Parking Spaces Save, Baiyeku,1,1,1,5
Newly Built 2 Bedroom Flat,Ajah,800000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Majek,2,2,3,1
Luxury Brand New,Ajah,700000,1 Bedroom2 Bathrooms1 Toilet8 Parking Spaces Save, Sangotedo,1,2,1,8
Luxury 2 Bedroom Apartment With Excellent Finishing,Ketu,700000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Ketu,2,2,3,1
Brand New 3 Bedroom Flat,Isheri North,900000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, GRA,3,3,4,3
Luxury 2 Bedrooms Apartment With Excellent Finishing,Ketu,800000,2 Bedrooms2 Bathrooms3 Toilets1 Parking Space Save, Ketu,2,2,3,1
Lovely 2 Bedroom Flat,Lekki,2500000,2 Bedrooms2 Bathrooms2 Toilets Save, Oniru,2,2,2,
Brand New Mini Flat,Ajah,600000,1 Bedroom2 Bathrooms2 Toilets Save, Ajah,1,2,2,
Luxurious And Stylishly Built (2)bedroom Flat,Gbagada,1000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
Brand New Studio Apartment,IbejuLekki,250000,1 Bathroom1 Toilet1 Parking Space Save, Chief Pascal Close,1,1,1,1
3 Bedroom Serviced Apartment,Lekki,3500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Luxury 2 Bedroom Apartment,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets Save, Ajah,2,2,3,
Luxury 2 Bedroom Flat,Ajah,650000,2 Bedrooms3 Bathrooms2 Toilets5 Parking Spaces Save, Sangotedo,2,3,2,5
Tastefully Finished 3 Bedroom Flat,Isolo,750000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Okota,3,3,4,3
Newly Built 3 Bedroom Flat,Isolo,1000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Okota,3,3,4,2
Newly Built 2 Bedroom Apartment,Lekki,2200000,2 Bedrooms2 Bathrooms3 Toilets Save, Lekki,2,2,3,
Furnished Medium Sized Bq (room Self Contained),Lekki,600000,1 Bathroom1 Toilet2 Parking Spaces Save, Lekki,1,1,1,2
Decent 3 Bedroom Flat,Ketu,600000,3 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Ikosi,3,2,2,2
Newly Built 2 Bedroom Flat,Ikorodu,500000,2 Bedrooms3 Toilets Save, Ebute,2,3,  ,
Newly Built 2 Bedroom Flat,Ikorodu,250000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Igbogbo,2,3,3,3
2 Bedroom Flat Upstairs,Lekki,2500000,2 Bedrooms2 Bathrooms3 Toilets Save, Lekki Phase 1,2,2,3,
Luxury 3 Bedroom Apartment,Lekki,4000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
6 Units Of 2 Bedroom Flat,Lekki,2000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lekki,2,2,3,2
Luxury 3 Bedrooom Flats With 1 Room Bq Each,Ikoyi,8000000,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save, Off Osborne Road.,3,4,4,4
Well Maintain Flat,Ikeja,1500000,3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save, Ikeja,3,3,4,10
Luxury Self-contained With Excellent Facilities,Lekki,400000,1 Bathroom1 Toilet1 Parking Space100 sqm Total Area Save, Ikate,1,1,1,1
Luxury 6 Units Of 3 Bedroom Flat,Lekki,4000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Lekki,3,3,4,3
Neat Room And Palour Mini Flat,Ajah,450000,1 Bedroom1 Bathroom1 Toilet Save, Ajah,1,1,1,
A 3 Bedroom Shared Apartment With A Big Wardrobe (up & Down),Ajah,300000,1 Bathroom1 Toilet3 Parking Spaces Save, Badore Road,1,1,1,3
"A Newly Built 3 Bedrooms Apartment, Very Sharp With A Pop Finishing",Ajah,900000,3 Bedrooms4 Bathrooms4 Toilets3 Parking Spaces Save, Badore Road,3,4,4,3
Ground Floor Room Self Contained,Ikeja,250000,1 Bathroom1 Toilet Save, Ikeja,1,1,  ,
Newly Built Miniflat In A Well Developed Area,Ipaja,250000,1 Bedroom1 Bathroom1 Toilet4 Parking Spaces Save, Iyana Ipaja,1,1,1,4
3-bedroom Serviced Apartment,Lekki,3000000,3 Bedrooms4 Bathrooms4 Toilets2 Parking Spaces Save, Osapa,3,4,4,2
Room And Palour Mini Flat,Ajah,600000,1 Bedroom1 Bathroom1 Toilet10 Parking Spaces Save, Ajah,1,1,1,10
4 Bedroom Terrence Flat,Ikoyi,6000000,4 Bedrooms5 Bathrooms5 Toilets8 Parking Spaces Save, Ikoyi,4,5,5,8
Fully Serviced 3 Bedroom Apartment With Bq,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Victoria Island (VI),3,3,4,3
Luxury 2 Bedroom Flat,Lekki,2800000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lekki Phase 1,2,2,3,2
A Newly Renovated Roomself Contained In A Shared Apartment,Ajah,250000,1 Bathroom1 Toilet5 Parking Spaces Save, Ajah,1,1,1,5
Decent And Neat Shared Apartment In A Secured And Serene Environment,Lekki,450000,1 Bathroom1 Toilet10 Parking Spaces648 sqm Total Area Save, Lekki,1,1,1,10
Neat And Decent 2 Bedroom At Good Location,Ikotun,300000,2 Bedrooms3 Bathrooms3 Toilets10 Parking Spaces Save, Ikotun,2,3,3,10
Newly Built 3 Bedroom Flat,Ipaja,500000,3 Bedrooms3 Bathrooms4 Toilets400 Parking Spaces Save, Baruwa,3,3,4,
Very Neat Room Self Contained,Ikorodu,80000,1 Bathroom1 Toilet3 Parking Spaces Save, Igbogbo,1,1,1,3
A Lovely Luxury Mini Flat,Yaba,500000,1 Bedroom1 Bathroom1 Toilet Save, Yaba,1,1,1,
A Standard Roomself Contained In A Shared Apartment In A Mini Estate,Lekki,800000,1 Bathroom2 Toilets2 Parking Spaces Save, Osapa,1,1,1,2
1 Bedroom Flat,Alimosho,170000,1 Bedroom1 Bathroom1 Toilet Save, Akesan,1,1,1,
Fully Serviced And Nicely Finished 1 Bedroom Flat,Lekki,1000000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Lekki,1,1,2,1
Fully Serviced And Spacious Two (2) Bedroom Flat,Lekki,1600000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
"Fully Serviced, Spacious & Luxury 3 Bedroom Flat",Lekki,2500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lagos,3,3,4,2
Very Neat And Affordable Two Bedroom Apartment,Ikorodu,200000,2 Bedrooms2 Bathrooms3 Toilets4 Parking Spaces Save, Igbogbo Baiyeku Road Ikorodu,2,2,3,4
Newly Built 3 Bedroom Flat,Ikorodu,300000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Igbogbo,3,3,3,3
Pop Finished 2 Bedroom Flat,Ikorodu,250000,2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Igbogbo,2,3,3,2
Brand New 2 Bedroom Flat,Lekki,1300000,2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save, Lekki,2,2,3,6
Upstairs Room And Parlour Self Contained,Ikorodu,150000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Igbogbo,1,1,1,1
Decent And Neat 2 Bedroom At Good Price,Ipaja,300000,2 Bedrooms2 Bathrooms2 Toilets5 Parking Spaces Save, Baruwa,2,2,2,5
4 Bedroom Duplex,Lekki,2500000,4 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save, Lekki,4,4,4,4
3 Bedroom Flat,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Lekki,3,3,4,3
Spacious Room Self Contained.,Ikorodu,84000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Igbogbo,1,1,1,1
A Room And Parlour Self Contained.,Ikorodu,200000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Igbogbo,1,1,1,3
3 Bedroom Flat.,Surulere,2000000,3 Bedrooms3 Bathrooms2 Toilets4 Parking Spaces Save, Surulere,3,3,2,4
A Lovely 3 Bedroom Flat With Modern Facilities.,Yaba,1100000,3 Bedrooms3 Bathrooms3 Toilets8 Parking Spaces Save, Yaba,3,3,3,8
A Brand New Spacious 3 Bedroom Flat Upstairs.,Shomolu,1100000,3 Bedrooms3 Bathrooms4 Toilets12 Parking Spaces Save, Bariga,3,3,4,12
3 Bedrooms,Ikoyi,15000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Lovely 3 Bedrooms Flat,Ikeja,1500000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Ikeja,3,3,3,2
"Renovated 2 Bedrooms Flat, 2 Bathroom",Lekki,1600000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Osapa London,2,2,2,2
One Room Self-contained,Lekki,700000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
One Room Self Contained,Lekki,800000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Lekki,1,1,1,1
One Bedroom Flat,Lekki,1500000,1 Bedroom1 Bathroom2 Toilets2 Parking Spaces Save, Lekki,1,1,2,2
Well Located 3 Bedroom Flat,Isheri North,800000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Opic,3,3,3,3
3 Bedroom Flat,Lekki,3500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
3 Bedroom Flat,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Newly Built Room And Parlour Apartment,Ikorodu,250000,1 Bedroom1 Bathroom2 Toilets Save, Lagos,1,1,2,
A Lovely 3 Bedrooms Flat (all Rooms Ensuite),Isolo,900000,  Save, Isolo,,,,
Studio Apartment,Ikoyi,6000000,1 Parking Space Save, Ikoyi,1,,,1
"3 Bedrooms Flat, Three Tenants In Compound",Surulere,600000,3 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Ijesha,3,2,2,1
Mini Flat With Toilet & Kitchen,Surulere,350000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Aguda,1,1,1,1
"Luxurious Newly Built 3 Bedrooms Flat, 3 In The Compound",Ajah,1600000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, Ajiwe,3,3,4,6
Luxury 3 Bedrooms Apartment With Bq And 24 Hours Light,Victoria Island (VI),7000000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Lagos,3,3,3,3
Clean 2 Bedrooms Flat,Ikorodu,200000,2 Bedrooms2 Bathrooms2 Toilets2 Parking Spaces Save, Igbogbo,2,2,2,2
3 Bedroom Apartment,Ikoyi,8500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Spacious 3 Bedroom Flat,Ajah,1200000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Ado Road,3,3,3,3
2 Bedrooms Furnished Apartment,Ikoyi,8000000,2 Bedrooms Save, Lagos,2, ,,
2 Bedroom Furnished Apartment,Ikoyi,8000000,2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Ikoyi,2,2,2,1
2 Bedrooms Apartment,Ikoyi,6000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
New 3 Bedrooms Flat,Surulere,1100000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Off Ishaga Road,3,3,4,2
Affordable Clean 2 Bedrooms Flat,Ipaja,300000,2 Bedrooms2 Bathrooms2 Toilets10 Parking Spaces Save, Baruwa,2,2,2,10
3 Bedrooms Flat,Lekki,2700000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
3 Bedrooms Flat,Oshodi,700000,3 Bedrooms Save, Beesam,3, ,,
Newly Built Mini Flat,Shomolu,500000,1 Bedroom1 Bathroom1 Toilet Save, Bariga,1,1,1,
Newly Built Mini Flat,Shomolu,400000,1 Bedroom1 Bathroom1 Toilet Save, Bariga,1,1,1,
Affordable 2 Bedrooms Flat,Alimosho,250000,2 Bedrooms2 Bathrooms2 Toilets9 Parking Spaces Save, Ait,2,2,2,9
3 Bedrooms Flat,Ikeja,1500000,3 Bedrooms4 Toilets900 sqm Total Area900 sqm Covered Area Save, Ikeja,3,4,9,0
Newly Built Room And Parlour,Kosofe,350000,1 Bedroom1 Bathroom2 Toilets Save, Mile 12,1,1,2,
Newly Built 4 Units 3 Bedrooms Flat,Magboro,500000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Behind Gateway Sparklight Housing Estate,3,3,4,3
Luxury 3 Bedrooms Flat,Ikoyi,5000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Newly Built 2bedroom Flats All Rooms Ensuite,Yaba,1600000,2 Bedrooms3 Bathrooms3 Toilets5 Parking Spaces Save, Alagomeji,2,3,3,5
Three Bedrooms Flat,Ajah,1700000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Olokonla,3,3,4,2
Top Notch 3 Bedroom Flat,Lekki,1600000,3 Bedrooms3 Bathrooms4 Toilets Save, Lekki,3,3,4,
Well Maintained 2 Bedrooms,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Olokonla,2,2,3,8
Luxurious 2 Bedrooms,Ajah,900000,2 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Olokonla,2,3,3,2
4 Bedrooms Apartment,Ikoyi,10000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
4 Bedroom Penthouse Apartment,Ikoyi,12000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
"Luxury Room Self Contained, Serviced Apartment",Yaba,600000,1 Bedroom1 Bathroom1 Toilet1 Parking Space Save, Abule Oja,1,1,1,1
Fully Serviced 3 Bedroom Apartment With Excellent Facilities,Victoria Island (VI),10000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Serviced 3 Bedrooms Flat With Fitted Kitched In A Mini Estate,Lekki,1700000,3 Bedrooms3 Bathrooms4 Toilets Save, New Road,3,3,4,
Serviced 2 Bedrooms Flat In A Gated Mini Court With 24 Hours Power,Lekki,2000000,2 Bedrooms2 Bathrooms3 Toilets Save, Off Orchid Road,2,2,3,
"Clean, Pay And Park In 3 Bedrooms Flat, All Rooms Ensuite With Water Heater",IbejuLekki,650000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, Bogije,3,3,4,6
3 Bedroom Flat + Bq,Ikeja,3000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikeja,3,3,4,
Mini Flat,IbejuLekki,1500000,1 Bedroom Save, Ibeju Lekki,1, ,,
An Irresistible Room Self Contained,Shomolu,350000,1 Bedroom1 Bathroom1 Toilet Save, Palmgrove,1,1,1,
Nicely Finished And Well Maintained Three (3) Bedroom Flat With Jetty,Ikoyi,8000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Modern 2 Bedroom Apartment,Victoria Island (VI),4500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Victoria Island (VI),2,2,3,2
3 Bedroom Flat,Victoria Island (VI),6000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Oniru,3,3,4,2
Newly Built 3 Bedroom Flat,Ikorodu,300000,3 Bedrooms4 Bathrooms4 Toilets4 Parking Spaces Save, Igbogbo,3,4,4,4
New 30 Units Of Mini Flats To One Tenant,Lekki,1600000,1 Bedroom1 Bathroom2 Toilets1 Parking Space Save, Off Freedom Way,1,1,2,1
Newly Built Pop Room And Parlor Self Contained,Ikorodu,200000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Igbogbo,1,1,1,2
Luxury 3 Bedroom Flat With Exquisite Finishing,Apapa,2000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, GRA,3,3,4,3
A Decent Roomself Contained,Alimosho,120000,1 Bedroom1 Bathroom1 Toilet5 Parking Spaces Save, Alimosho,1,1,1,5
Well Maintained 2 Bedroom Apartment,Lekki,1200000,2 Bedrooms Save, Igbo Efon,2, ,,
"3 Bedroom Flat With A All Room Ensuit, Visitors Toilet,be, Standby Gen",Surulere,1100000,3 Bedrooms3 Bathrooms4 Toilets10 Parking Spaces Save, Ojuelegba,3,3,4,10
A Lovely And Nice Newly Built Mini Flat,Surulere,500000,1 Bedroom1 Toilet450 sqm Total Area450 sqm Covered Area Save, Aguda,1,1,4,50
3 Bedroom Apartment,Ikoyi,8500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
A Tastefully Finished 3 Bedroom Flat,Yaba,1300000,3 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save, Ebute Metta East,3,2,2,8
Newly Built And Tastefully Finished 2 Bedroom Ensuite Flat,Yaba,1500000,2 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Yaba,2,3,3,3
A Spacious Well Renovated 3 Bedroom Flat,Ketu,750000,3 Bedrooms2 Bathrooms3 Toilets8 Parking Spaces Save, Ketu,3,2,3,8
Luxury 3 Bedroom Flat,Ajah,1500000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ajah,3,3,4,4
2 Bedroom Furnished Waterfront Apartment,Ikoyi,11000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
4 Bedroom Apartment With Maid's Room,Ikoyi,7000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
Room And Parlour Self Contained,Ikorodu,120000,1 Bedroom1 Bathroom1 Toilet2 Parking Spaces Save, Igbogbo,1,1,1,2
Tastefully Finished 3 Bedroom Flat,Isheri North,1000000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Isheri North,3,3,3,2
3 Bedroom Apartments,Ikoyi,16000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
2 Bedroom Furnished Apartments.,Ikoyi,8000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
Luxury And Very Spacious Shared Apartment,Lekki,500000,1 Bedroom1 Toilet Save, Igbo Efon,1,1,  ,
4 Bedrooms Penthouse Apartment,Ikoyi,16000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Ikoyi,4,4,5,3
3 Bedroom Luxury Apartment,Ikeja,2500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikeja,3,3,4,
3 Bedroom Furnished Apartments.,Ikoyi,10000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
Luxuriously Furnished 3 Bedroom Ensuite.,Magboro,500000,3 Bedrooms3 Bathrooms3 Toilets3 Parking Spaces Save, Ogun,3,3,3,3
Specious 3 Bedroom Flat.,Ajah,1200000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ajah,3,3,4,3
Specious 3 Bedroom Flat.,Ajah,1000000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ajah,3,3,4,4
3 Bedroom Furnished Apartments.,Victoria Island (VI),7500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
3 Bedroom Furnished Apartments.,Victoria Island (VI),8500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Luxury Serviced 3 Bedroom Apartment With Acs.,Ikeja,2500000,3 Bedrooms4 Bathrooms4 Toilets Save, Ikeja,3,4,4,
3 Bedroom Luxury Penthouse Apartment.,Ikoyi,25000000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Ikoyi,3,3,4,3
A Lovely And Nice Well Finished Mini 2 Bedroom Flat.,Gbagada,850000,2 Bedrooms2 Bathrooms2 Toilets1 Parking Space Save, Pedro,2,2,2,1
A Newly Built 2 Bedroom Flat,IbejuLekki,550000,2 Bedrooms2 Bathrooms2 Toilets8 Parking Spaces Save, Abule Parapo Road,2,2,2,8
Specious 3 Bedroom Flat.,Lekki,2200000,3 Bedrooms3 Bathrooms4 Toilets4 Parking Spaces Save, Ikate,3,3,4,4
3 Bedroom Apartments.,Ikoyi,6000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
2 Bedroom Apartments.,Ikoyi,6000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
3 Bedroom Penthouse Apartments.,Ikoyi,8500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
4 Bedroom Waterfront Apartments.,Ikoyi,12000000,4 Bedrooms4 Bathrooms5 Toilets3 Parking Spaces Save, Ikoyi,4,4,5,3
Brand New 5 Bedroom Duplex.,Lekki,5000000,5 Bedrooms5 Bathrooms6 Toilets8 Parking Spaces Save, Lekki Phase 2,5,5,6,8
Well Furnished And Serviced 6 Blocks Of 3 Bedroom Flats With Bq,Lekki,2000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikate,3,3,4,
3 Bedrooms Flat,Victoria Island (VI),4000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Oniru,3,3,4,2
3 Bedroom Furnished Luxury Apartment.,Ikoyi,11000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
3 Bedroom Flat.,Ikoyi,40000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
"20 Units Of 3 Bedroom Service Flat With Bq, Swimming Pool & Gym",Ikeja,8000000,"3 Bedrooms3 Bathrooms3 Toilets1,000 sqm Total Area Save", Ikeja GRA,3,3,3,
Lovely Mini Flat,Ketu,600000,1 Bedroom Save, Ketu,1, ,,
2 Bedroom Apartment.,Ikoyi,5000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
2 Bedroom Luxury Apartments,Ikoyi,10000000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ikoyi,2,2,3,2
2 Bedroom Apartments,Ikoyi,20000000,2 Bedrooms Save, Ikoyi,2, ,,
3 Bedroom Luxury Apartments,Ikoyi,23000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Ikoyi,3,3,4,2
4 Bedroom Penthouse Apartment.,Ikoyi,15000000,4 Bedrooms4 Bathrooms5 Toilets2 Parking Spaces Save, Ikoyi,4,4,5,2
3 Bedrooms Luxury Apartment,Victoria Island (VI),5000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
2 Bedroom Luxury Apartments.,Ikoyi,8500000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Lagos,2,2,3,2
Lovely And Spacious 3 Bedroom Flat,Lekki,3000000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Lovely 3 Bedroom Flat,Surulere,1000000,3 Bedrooms3 Bathrooms3 Toilets2 Parking Spaces Save, Ojuelegba,3,3,3,2
Spacious Mini Flat All Round Tiles,Ipaja,100000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Ipaja,1,1,1,3
Newly Built Decent Miniflat Apartment,Shomolu,450000,1 Bedroom1 Bathroom1 Toilet3 Parking Spaces Save, Lagos.,1,1,1,3
3 Bedroom Apartment,Lekki,1500000,3 Bedrooms3 Bathrooms4 Toilets1 Parking Space Save, Jakande 1st Gate,3,3,4,1
An Executive & Magnificent Luxury Serviced 3 Bedroom Flat + Bq,Yaba,2500000,3 Bedrooms3 Bathrooms4 Toilets3 Parking Spaces Save, Alagomeji,3,3,4,3
3 Bedroom Flat,Ikeja,1600000,3 Bedrooms3 Bathrooms4 Toilets Save, Lagos,3,3,4,
3 Bedroom Flat,Ikeja,2500000,3 Bedrooms3 Bathrooms4 Toilets15 Parking Spaces Save, Ikeja,3,3,4,15
Brand New Luxury Flat,Ajah,600000,1 Bedroom1 Bathroom2 Toilets9 Parking Spaces Save, Sangotedo,1,1,2,9
Luxury 3 Bedroom Flat,Lekki,2200000,3 Bedrooms3 Bathrooms4 Toilets6 Parking Spaces Save, Osapa,3,3,4,6
Luxury 2 Bedroom Flat,Ajah,950000,2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save, Ajah,2,2,3,6
