property_type,location,price,features,neighourhood,bedroom,bathroom,toilet,parking_lot
Upscale 4 Bedroom Apartment,Ikoyi,18000000,4 Bedrooms5 Toilets Save, Lagos,4,5,  ,
Premium 3 Bedroom Apartment,Ikoyi,5500000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Spacious 4 Bedroom Apartment,Ikoyi,8500000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Premium 4 Bedrooms Apartment,Ikoyi,12000000,4 Bedrooms4 Bathrooms5 Toilets Save, Ikoyi,4,4,5,
Upscale 3 Bedroom Apartment,Victoria Island (VI),8500000,3 Bedrooms3 Bathrooms4 Toilets Save, Victoria Island (VI),3,3,4,
Luxury 3 Bedroom Apartment,Ikoyi,13000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Newly Built 3 Bedroom Flats Available,Magodo,2000000,3 Bedrooms3 Bathrooms4 Toilets8 Parking Spaces Save, Magodo,3,3,4,8
A Lovely And Nice Spacious Newly Built Mini Flat,Yaba,600000,1 Bedroom2 Bathrooms2 Toilets1 Parking Space Save, Adekunle,1,2,2,1
Luxury 3 Bedroom Apartment,Victoria Island (VI),3500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
Spacious 3 Bedrooms Apartment,Ikoyi,7000000,3 Bedrooms3 Bathrooms4 Toilets Save, Ikoyi,3,3,4,
Clean Juicy 2 Bedroom Flat,IbejuLekki,500000,2 Bedrooms2 Bathrooms3 Toilets6 Parking Spaces Save, Ibeju Lekki,2,2,3,6
3 Bedroom Flat All Room Ensuit With Guest Toilet,Magodo,2000000,3 Bedrooms4 Bathrooms4 Toilets12 Parking Spaces Save, Magodo,3,4,4,12
Stadio Apartment,Lekki,1500000,1 Bedroom1 Bathroom Save, Lagos,1,1,  ,
Mini Flat.,Lekki,1800000,1 Bedroom1 Bathroom1 Toilet Save, Lekki,1,1,1,
Tasteful 2 Bedroom Flat With Bq,Victoria Island (VI),3000000,2 Bedrooms2 Bathrooms3 Toilets Save, Victoria Island (VI),2,2,3,
Bq Self Contained,Lekki,600000,1 Bathroom1 Toilet1 Parking Space300 sqm Total Area Save, Lekki,1,1,1,1
Luxury And Excellent Mini Flat,Ajah,500000,1 Bedroom1 Bathroom1 Toilet8 Parking Spaces Save, Badore,1,1,1,8
A Lovely And Nice Very Spacious 3 Bedroom With A Bq,Surulere,2700000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Surulere,3,3,4,2
Luxury 2 Bedroom Apartment With Excellent Facilities,Ajah,900000,2 Bedrooms2 Bathrooms3 Toilets2 Parking Spaces Save, Ado,2,2,3,2
Newly Renovated And Fully Serviced 3 Bedrooms Apartment,Lekki,3000000,3 Bedrooms2 Bathrooms3 Toilets Save, Lekki Phase 1,3,2,3,
Luxury Clean 3 Bedroom Flat,Lekki,1500000,3 Bedrooms3 Bathrooms3 Toilets6 Parking Spaces Save, Idado,3,3,3,6
Newly 2 Bedroom Flat,Ajah,1500000,2 Bedrooms2 Bathrooms3 Toilets3 Parking Spaces Save, Ajah,2,2,3,3
A Lovely And Nice Newly Built 3 Bedroom Flat,Surulere,1200000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Aguda,3,3,4,2
A Lovely And Nice Well Finished 3 Bedroom Flat,Surulere,1000000,3 Bedrooms3 Bathrooms3 Toilets1 Parking Space Save, Aguda,3,3,3,1
Lovely New Studio Serviced Apartment,Yaba,600000,1 Bathroom1 Toilet1 Parking Space Save, Yaba,1,1,1,1
Nice And Standard Self Contained,Lekki,450000,  Save, Lekki,,,,
3 Bedroom Flat In A Serene And Secured Environment,Lekki,3500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Lekki,3,3,4,2
Beautifully Built And Fully Serviced 3 Bedroom Apartment And A Room Bq,Victoria Island (VI),4500000,3 Bedrooms3 Bathrooms4 Toilets Save, Oniru,3,3,4,
2 Bedroom Flat,Lekki,2500000,2 Bedrooms2 Bathrooms3 Toilets Save, Lekki,2,2,3,
Luxury 3 Bedroom Flat,Victoria Island (VI),5500000,3 Bedrooms3 Bathrooms4 Toilets2 Parking Spaces Save, Victoria Island (VI),3,3,4,2
